Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MN,Hex,10,4,% shift to the right,,,,Walter Mondale,A,,Right,0,ü,49.7,3.2,82190,10,13,WALTER MONDALE,Ronald Reagan,40.6%,1036364,37577185,4.5,2,,,,,,,,,,,,,"The election of 1984 was a contest between the incumbent President Ronald Reagan, the Republican candidate, and former Vice President Walter Mondale, the Democratic candidate. Reagan was helped by a strong economic recovery from the deep recession of 1981–1982. Reagan carried 49 of the 50 states, becoming only the second presidential candidate to do so after Richard Nixon's victory in the 1972 presidential election. Mondale's only electoral votes came from the District of Columbia, which has always been considered a Democratic guarantee, and his home state of Minnesota—which he won by a mere 3761 votes, meaning Reagan came within 3800 votes of winning all fifty states. Reagan's 525 electoral votes (out of 538) is the highest total ever received by a presidential candidate.",-3.9,D,-46.5,1,-5,-0.200000000,49.5,6.9,159335,,525,RONALD REAGAN, ,58.8%,1032603,54455075,Midwest,2,3.7,-0.5,5,,Minnesota,,Minnesota,D,2084449,92652842,-49.7,R,1984
DC,Hex,3,10,% shift to the left,,,,Walter Mondale,E,,Left,0,ü,85.4,10.6,49295,3,13,WALTER MONDALE,Ronald Reagan,40.6%,180408,37577185,12,5,,,,,,,,,,,,,"The election of 1984 was a contest between the incumbent President Ronald Reagan, the Republican candidate, and former Vice President Walter Mondale, the Democratic candidate. Reagan was helped by a strong economic recovery from the deep recession of 1981–1982. Reagan carried 49 of the 50 states, becoming only the second presidential candidate to do so after Richard Nixon's victory in the 1972 presidential election. Mondale's only electoral votes came from the District of Columbia, which has always been considered a Democratic guarantee, and his home state of Minnesota—which he won by a mere 3761 votes, meaning Reagan came within 3800 votes of winning all fifty states. Reagan's 525 electoral votes (out of 538) is the highest total ever received by a presidential candidate.",-61.4,D,-74.8,1,-75,-71.7,13.7,0.300000000,5464,,525,RONALD REAGAN, ,58.8%,29009,54455075,Northeast,4,-10.3,0.5,10,,Dist. of Col.,,Dist. of Col.,D,211288,92652842,-85.4,R,1984
ND,Hex,3,7,% shift to the left,,,,Walter Mondale,I,,Left,0,ü,33.8,7.5,25240,,13,WALTER MONDALE,Ronald Reagan,40.6%,104429,37577185,3.5,2,,,,,,,,,,,,,"The election of 1984 was a contest between the incumbent President Ronald Reagan, the Republican candidate, and former Vice President Walter Mondale, the Democratic candidate. Reagan was helped by a strong economic recovery from the deep recession of 1981–1982. Reagan carried 49 of the 50 states, becoming only the second presidential candidate to do so after Richard Nixon's victory in the 1972 presidential election. Mondale's only electoral votes came from the District of Columbia, which has always been considered a Democratic guarantee, and his home state of Minnesota—which he won by a mere 3761 votes, meaning Reagan came within 3800 votes of winning all fifty states. Reagan's 525 electoral votes (out of 538) is the highest total ever received by a presidential candidate.",37.9,R,64.2,1,30,31,64.8,0.600000000,6641,3,525,RONALD REAGAN, ,58.8%,200336,54455075,Midwest,2,-6.9,0.5,4,North Dakota,,,North Dakota,R,308971,92652842,64.8,R,1984
WI,Hex,11,5,% shift to the right,,,,Walter Mondale,F,,Right,0,ü,45.0,1.8,14156,,13,WALTER MONDALE,Ronald Reagan,40.6%,995740,37577185,5.5,2,,,,,,,,,,,,,"The election of 1984 was a contest between the incumbent President Ronald Reagan, the Republican candidate, and former Vice President Walter Mondale, the Democratic candidate. Reagan was helped by a strong economic recovery from the deep recession of 1981–1982. Reagan carried 49 of the 50 states, becoming only the second presidential candidate to do so after Richard Nixon's victory in the 1972 presidential election. Mondale's only electoral votes came from the District of Columbia, which has always been considered a Democratic guarantee, and his home state of Minnesota—which he won by a mere 3761 votes, meaning Reagan came within 3800 votes of winning all fifty states. Reagan's 525 electoral votes (out of 538) is the highest total ever received by a presidential candidate.",4.7,R,47.9,1,5,9.2,54.2,6.3,109739,11,525,RONALD REAGAN, ,58.8%,1198584,54455075,Midwest,2,4.5,-0.5,7,Wisconsin,,,Wisconsin,R,2211689,92652842,54.2,R,1984
MI,Hex,20,13,% shift to the right,,,,Walter Mondale,G,,Right,0,ü,40.2,-2.3,-131894,,13,WALTER MONDALE,Ronald Reagan,40.6%,1529638,37577185,7.5,2,,,,,,,,,,,,,"The election of 1984 was a contest between the incumbent President Ronald Reagan, the Republican candidate, and former Vice President Walter Mondale, the Democratic candidate. Reagan was helped by a strong economic recovery from the deep recession of 1981–1982. Reagan carried 49 of the 50 states, becoming only the second presidential candidate to do so after Richard Nixon's victory in the 1972 presidential election. Mondale's only electoral votes came from the District of Columbia, which has always been considered a Democratic guarantee, and his home state of Minnesota—which he won by a mere 3761 votes, meaning Reagan came within 3800 votes of winning all fifty states. Reagan's 525 electoral votes (out of 538) is the highest total ever received by a presidential candidate.",6.5,R,49,1,15,19,59.2,10.2,336346,20,525,RONALD REAGAN, ,58.8%,2251571,54455075,Midwest,2,12.5,-0.5,8,Michigan,,,Michigan,R,3801658,92652842,59.2,R,1984
IL,Hex,24,5,% shift to the right,,,,Walter Mondale,G,,Right,0,ü,43.3,1.600000000,105086,,13,WALTER MONDALE,Ronald Reagan,40.6%,2086499,37577185,6,3,,,,,,,,,,,,,"The election of 1984 was a contest between the incumbent President Ronald Reagan, the Republican candidate, and former Vice President Walter Mondale, the Democratic candidate. Reagan was helped by a strong economic recovery from the deep recession of 1981–1982. Reagan carried 49 of the 50 states, becoming only the second presidential candidate to do so after Richard Nixon's victory in the 1972 presidential election. Mondale's only electoral votes came from the District of Columbia, which has always been considered a Democratic guarantee, and his home state of Minnesota—which he won by a mere 3761 votes, meaning Reagan came within 3800 votes of winning all fifty states. Reagan's 525 electoral votes (out of 538) is the highest total ever received by a presidential candidate.",7.9,R,49.6,1,10,12.9,56.2,6.6,349054,24,525,RONALD REAGAN, ,58.8%,2707103,54455075,Midwest,2,5.0,-0.5,6,Illinois,,,Illinois,R,4819088,92652842,56.2,R,1984
SD,Hex,3,2,% shift to the left,,,,Walter Mondale,H,,Left,0,ü,36.5,4.8,12258,,13,WALTER MONDALE,Ronald Reagan,40.6%,116113,37577185,4,3,,,,,,,,,,,,,"The election of 1984 was a contest between the incumbent President Ronald Reagan, the Republican candidate, and former Vice President Walter Mondale, the Democratic candidate. Reagan was helped by a strong economic recovery from the deep recession of 1981–1982. Reagan carried 49 of the 50 states, becoming only the second presidential candidate to do so after Richard Nixon's victory in the 1972 presidential election. Mondale's only electoral votes came from the District of Columbia, which has always been considered a Democratic guarantee, and his home state of Minnesota—which he won by a mere 3761 votes, meaning Reagan came within 3800 votes of winning all fifty states. Reagan's 525 electoral votes (out of 538) is the highest total ever received by a presidential candidate.",28.8,R,60.5,1,25,26.5,63.0,2.5,1924,3,525,RONALD REAGAN, ,58.8%,200267,54455075,Midwest,3,-2.3,0.5,4,South Dakota,,,South Dakota,R,317867,92652842,63,R,1984
IA,Hex,8,5,% shift to the left,,,,Walter Mondale,F,,Left,0,ü,45.9,7.3,96948,,13,WALTER MONDALE,Ronald Reagan,40.6%,605620,37577185,5,3,,,,,,,,,,,,,"The election of 1984 was a contest between the incumbent President Ronald Reagan, the Republican candidate, and former Vice President Walter Mondale, the Democratic candidate. Reagan was helped by a strong economic recovery from the deep recession of 1981–1982. Reagan carried 49 of the 50 states, becoming only the second presidential candidate to do so after Richard Nixon's victory in the 1972 presidential election. Mondale's only electoral votes came from the District of Columbia, which has always been considered a Democratic guarantee, and his home state of Minnesota—which he won by a mere 3761 votes, meaning Reagan came within 3800 votes of winning all fifty states. Reagan's 525 electoral votes (out of 538) is the highest total ever received by a presidential candidate.",12.7,R,51.3,1,5,7.4,53.3,2,27062,8,525,RONALD REAGAN, ,58.8%,703088,54455075,Midwest,3,-5.3,0.5,5,Iowa,,,Iowa,R,1319805,92652842,53.3,R,1984
IN,Hex,12,6,% shift to the right,,,,Walter Mondale,H,,Right,0,ü,37.7,0,-2716,,13,WALTER MONDALE,Ronald Reagan,40.6%,841481,37577185,7,3,,,,,,,,,,,,,"The election of 1984 was a contest between the incumbent President Ronald Reagan, the Republican candidate, and former Vice President Walter Mondale, the Democratic candidate. Reagan was helped by a strong economic recovery from the deep recession of 1981–1982. Reagan carried 49 of the 50 states, becoming only the second presidential candidate to do so after Richard Nixon's victory in the 1972 presidential election. Mondale's only electoral votes came from the District of Columbia, which has always been considered a Democratic guarantee, and his home state of Minnesota—which he won by a mere 3761 votes, meaning Reagan came within 3800 votes of winning all fifty states. Reagan's 525 electoral votes (out of 538) is the highest total ever received by a presidential candidate.",18.3,R,56,1,20,24,61.7,5.7,121574,12,525,RONALD REAGAN, ,58.8%,1377230,54455075,Midwest,3,5.7,-0.5,6,Indiana,,,Indiana,R,2233069,92652842,61.7,R,1984
OH,Hex,23,8,% shift to the right,,,,Walter Mondale,G,,Right,0,ü,40.1,-0.800000000,73026,,13,WALTER MONDALE,Ronald Reagan,40.6%,1825440,37577185,8,3,,,,,,,,,,,,,"The election of 1984 was a contest between the incumbent President Ronald Reagan, the Republican candidate, and former Vice President Walter Mondale, the Democratic candidate. Reagan was helped by a strong economic recovery from the deep recession of 1981–1982. Reagan carried 49 of the 50 states, becoming only the second presidential candidate to do so after Richard Nixon's victory in the 1972 presidential election. Mondale's only electoral votes came from the District of Columbia, which has always been considered a Democratic guarantee, and his home state of Minnesota—which he won by a mere 3761 votes, meaning Reagan came within 3800 votes of winning all fifty states. Reagan's 525 electoral votes (out of 538) is the highest total ever received by a presidential candidate.",10.6,R,51.5,1,15,18.8,58.9,7.4,472015,23,525,RONALD REAGAN, ,58.8%,2678560,54455075,Midwest,3,8.2,-0.5,7,Ohio,,,Ohio,R,4547619,92652842,58.9,R,1984
