Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MN,Hex,9,1,% shift to the left,,,,John Kerry,A,,Left,0,ü,51.1,3.2,276748,9,251,JOHN KERRY,George W. Bush,48.3%,1445014,59028444,4.5,2,,,,,,,,,,,,,"As in the 2000 presidential election, voting controversies and concerns of irregularities emerged during and after the vote. The winner was not determined until the following day, when Kerry decided not to dispute Bush's win in the state of Ohio. The state held enough electoral votes to determine the winner of the presidency. Both Kerry and Democratic National Committee Chairman Howard Dean have stated their opinion that voting in Ohio did not proceed fairly and that, had it done so, the Democratic ticket might have won that state and therefore the election. However, there was far less controversy about this election than in 2000. Foreign policy was the dominant theme throughout the election campaign, particularly Bush's conduct of the War on Terrorism and the 2003 invasion of Iraq.",-2.4,D,-47.9,1,-5,-3.5,47.6,2.1,237036,,286,GEORGE W. BUSH, ,50.7%,1346695,62040610,Midwest,2,-1.1,0.5,5,,Minnesota,,Minnesota,D,2828387,122295345,-51.1,R,2004
WI,Hex,10,0,% shift to the left,,,,John Kerry,A,,Left,0,ü,49.7,1.900000000,246517,10,251,JOHN KERRY,George W. Bush,48.3%,1489504,59028444,5.5,2,,,,,,,,,,,,,"As in the 2000 presidential election, voting controversies and concerns of irregularities emerged during and after the vote. The winner was not determined until the following day, when Kerry decided not to dispute Bush's win in the state of Ohio. The state held enough electoral votes to determine the winner of the presidency. Both Kerry and Democratic National Committee Chairman Howard Dean have stated their opinion that voting in Ohio did not proceed fairly and that, had it done so, the Democratic ticket might have won that state and therefore the election. However, there was far less controversy about this election than in 2000. Foreign policy was the dominant theme throughout the election campaign, particularly Bush's conduct of the War on Terrorism and the 2003 invasion of Iraq.",-0.200000000,D,-47.8,1,-5,-0.400000000,49.3,1.7,240841,,286,GEORGE W. BUSH, ,50.7%,1478120,62040610,Midwest,2,-0.2,0.5,7,,Wisconsin,,Wisconsin,D,2997007,122295345,-49.7,R,2004
MI,Hex,17,2,% shift to the right,,,,John Kerry,A,,Right,0,ü,51.2,-0.100000000,308765,17,251,JOHN KERRY,George W. Bush,48.3%,2479183,59028444,7.5,2,,,,,,,,,,,,,"As in the 2000 presidential election, voting controversies and concerns of irregularities emerged during and after the vote. The winner was not determined until the following day, when Kerry decided not to dispute Bush's win in the state of Ohio. The state held enough electoral votes to determine the winner of the presidency. Both Kerry and Democratic National Committee Chairman Howard Dean have stated their opinion that voting in Ohio did not proceed fairly and that, had it done so, the Democratic ticket might have won that state and therefore the election. However, there was far less controversy about this election than in 2000. Foreign policy was the dominant theme throughout the election campaign, particularly Bush's conduct of the War on Terrorism and the 2003 invasion of Iraq.",-5.2,D,-51.3,1,-5,-3.400000000,47.8,1.7,360607,,286,GEORGE W. BUSH, ,50.7%,2313746,62040610,Midwest,2,1.8,-0.5,8,,Michigan,,Michigan,D,4839252,122295345,-51.2,R,2004
IL,Hex,21,2,% shift to the right,,,,John Kerry,B,,Right,0,ü,54.8,0.200000000,302524,21,251,JOHN KERRY,George W. Bush,48.3%,2891550,59028444,6,3,,,,,,,,,,,,,"As in the 2000 presidential election, voting controversies and concerns of irregularities emerged during and after the vote. The winner was not determined until the following day, when Kerry decided not to dispute Bush's win in the state of Ohio. The state held enough electoral votes to determine the winner of the presidency. Both Kerry and Democratic National Committee Chairman Howard Dean have stated their opinion that voting in Ohio did not proceed fairly and that, had it done so, the Democratic ticket might have won that state and therefore the election. However, there was far less controversy about this election than in 2000. Foreign policy was the dominant theme throughout the election campaign, particularly Bush's conduct of the War on Terrorism and the 2003 invasion of Iraq.",-12,D,-54.6,1,-15,-10.3,44.5,1.9,326525,,286,GEORGE W. BUSH, ,50.7%,2345946,62040610,Midwest,2,1.7,-0.5,6,,Illinois,,Illinois,D,5274322,122295345,-54.8,R,2004
ME,Hex,4,4,% shift to the left,,,,John Kerry,A,,Left,0,ü,53.6,4.5,76891,4,251,JOHN KERRY,George W. Bush,48.3%,396842,59028444,11.5,0,,,,,,,,,,,,,"As in the 2000 presidential election, voting controversies and concerns of irregularities emerged during and after the vote. The winner was not determined until the following day, when Kerry decided not to dispute Bush's win in the state of Ohio. The state held enough electoral votes to determine the winner of the presidency. Both Kerry and Democratic National Committee Chairman Howard Dean have stated their opinion that voting in Ohio did not proceed fairly and that, had it done so, the Democratic ticket might have won that state and therefore the election. However, there was far less controversy about this election than in 2000. Foreign policy was the dominant theme throughout the election campaign, particularly Bush's conduct of the War on Terrorism and the 2003 invasion of Iraq.",-5.1,D,-49.1,1,-10,-9,44.6,0.600000000,43585,,286,GEORGE W. BUSH, ,50.7%,330201,62040610,Northeast,0,-3.9,0.5,11,,Maine,,Maine,D,740752,122295345,-53.6,R,2004
VT,Hex,3,10,% shift to the left,,,,John Kerry,C,,Left,0,ü,58.9,8.3,35045,3,251,JOHN KERRY,George W. Bush,48.3%,184067,59028444,10,1,,,,,,,,,,,,,"As in the 2000 presidential election, voting controversies and concerns of irregularities emerged during and after the vote. The winner was not determined until the following day, when Kerry decided not to dispute Bush's win in the state of Ohio. The state held enough electoral votes to determine the winner of the presidency. Both Kerry and Democratic National Committee Chairman Howard Dean have stated their opinion that voting in Ohio did not proceed fairly and that, had it done so, the Democratic ticket might have won that state and therefore the election. However, there was far less controversy about this election than in 2000. Foreign policy was the dominant theme throughout the election campaign, particularly Bush's conduct of the War on Terrorism and the 2003 invasion of Iraq.",-9.9,D,-50.6,1,-25,-20.1,38.8,-1.900000000,1405,,286,GEORGE W. BUSH, ,50.7%,121180,62040610,Northeast,1,-10.2,0.5,10,,Vermont,,Vermont,D,312309,122295345,-58.9,R,2004
NY,Hex,31,7,% shift to the right,,,,John Kerry,B,,Right,0,ü,58.4,-1.8,206583,31,251,JOHN KERRY,George W. Bush,48.3%,4314280,59028444,9.5,2,,,,,,,,,,,,,"As in the 2000 presidential election, voting controversies and concerns of irregularities emerged during and after the vote. The winner was not determined until the following day, when Kerry decided not to dispute Bush's win in the state of Ohio. The state held enough electoral votes to determine the winner of the presidency. Both Kerry and Democratic National Committee Chairman Howard Dean have stated their opinion that voting in Ohio did not proceed fairly and that, had it done so, the Democratic ticket might have won that state and therefore the election. However, there was far less controversy about this election than in 2000. Foreign policy was the dominant theme throughout the election campaign, particularly Bush's conduct of the War on Terrorism and the 2003 invasion of Iraq.",-25,D,-60.2,1,-20,-18.3,40.1,4.9,559193,,286,GEORGE W. BUSH, ,50.7%,2962567,62040610,Northeast,2,6.7,-0.5,9,,New York,,New York,D,7391036,122295345,-58.4,R,2004
RI,Hex,4,8,% shift to the right,,,,John Kerry,C,,Right,0,ü,59.4,-1.6,10257,4,251,JOHN KERRY,George W. Bush,48.3%,259765,59028444,11.5,2,,,,,,,,,,,,,"As in the 2000 presidential election, voting controversies and concerns of irregularities emerged during and after the vote. The winner was not determined until the following day, when Kerry decided not to dispute Bush's win in the state of Ohio. The state held enough electoral votes to determine the winner of the presidency. Both Kerry and Democratic National Committee Chairman Howard Dean have stated their opinion that voting in Ohio did not proceed fairly and that, had it done so, the Democratic ticket might have won that state and therefore the election. However, there was far less controversy about this election than in 2000. Foreign policy was the dominant theme throughout the election campaign, particularly Bush's conduct of the War on Terrorism and the 2003 invasion of Iraq.",-29.1,D,-61,1,-25,-20.7,38.7,6.8,38491,,286,GEORGE W. BUSH, ,50.7%,169046,62040610,Northeast,2,8.4,-0.5,10,,Rhode Island,,Rhode Island,D,437134,122295345,-59.4,R,2004
MA,Hex,12,2,% shift to the right,,,,John Kerry,C,,Right,0,ü,61.9,2.1,187313,12,251,JOHN KERRY,George W. Bush,48.3%,1803800,59028444,10.5,2,,,,,,,,,,,,,"As in the 2000 presidential election, voting controversies and concerns of irregularities emerged during and after the vote. The winner was not determined until the following day, when Kerry decided not to dispute Bush's win in the state of Ohio. The state held enough electoral votes to determine the winner of the presidency. Both Kerry and Democratic National Committee Chairman Howard Dean have stated their opinion that voting in Ohio did not proceed fairly and that, had it done so, the Democratic ticket might have won that state and therefore the election. However, there was far less controversy about this election than in 2000. Foreign policy was the dominant theme throughout the election campaign, particularly Bush's conduct of the War on Terrorism and the 2003 invasion of Iraq.",-27.3,D,-59.8,1,-30,-25.1,36.8,4.3,192607,,286,GEORGE W. BUSH, ,50.7%,1071109,62040610,Northeast,2,2.2,-0.5,11,,Massachusetts,,Massachusetts,D,2912388,122295345,-61.9,R,2004
PA,Hex,21,2,% shift to the right,,,,John Kerry,A,,Right,0,ü,50.9,0.300000000,452128,21,251,JOHN KERRY,George W. Bush,48.3%,2938095,59028444,9,3,,,,,,,,,,,,,"As in the 2000 presidential election, voting controversies and concerns of irregularities emerged during and after the vote. The winner was not determined until the following day, when Kerry decided not to dispute Bush's win in the state of Ohio. The state held enough electoral votes to determine the winner of the presidency. Both Kerry and Democratic National Committee Chairman Howard Dean have stated their opinion that voting in Ohio did not proceed fairly and that, had it done so, the Democratic ticket might have won that state and therefore the election. However, there was far less controversy about this election than in 2000. Foreign policy was the dominant theme throughout the election campaign, particularly Bush's conduct of the War on Terrorism and the 2003 invasion of Iraq.",-4.2,D,-50.6,1,-5,-2.5,48.4,2,512720,,286,GEORGE W. BUSH, ,50.7%,2793847,62040610,Northeast,3,1.7,-0.5,8,,Pennsylvania,,Pennsylvania,D,5769590,122295345,-50.9,R,2004
