Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MN,Hex,10,7,% shift to the left,,,,Michael S. Dukakis,A,,Left,0,ü,52.9,3.2,73107,10,111,MICHAEL S. DUKAKIS,George Bush,45.6%,1109471,41809074,4.5,2,,,,,,,,,,,,,"The United States presidential election of 1988 featured an open primary for both major parties. Ronald Reagan, the incumbent President, was vacating the position after serving the maximum two terms allowed by the Twenty-second Amendment. Reagan's Vice President, George H. W. Bush, won the Republican nomination, while the Democrats nominated Michael Dukakis, Governor of Massachusetts. Bush capitalized on a good economy, a stable international stage (the U.S. was not involved in any wars or conflicts during this time), and on Reagan's popularity. In this election, Bush became the first incumbent Vice President of the United States to win a presidential election in 152 years, since Martin Van Buren in 1836. Just like Van Buren in 1840, President Bush would also be defeated for reelection in 1992, after serving a single term.",-0.200000000,D,-49.7,1,-10,-7,45.9,-3.6,-70266,,426,GEORGE BUSH, ,53.4%,962337,48886097,Midwest,2,-6.8,0.5,5,,Minnesota,,Minnesota,D,2096790,91594809,-52.9,R,1988
WI,Hex,11,13,% shift to the left,,,,Michael S. Dukakis,A,,Left,0,ü,51.4,6.4,131054,11,111,MICHAEL S. DUKAKIS,George Bush,45.6%,1126794,41809074,5.5,2,,,,,,,,,,,,,"The United States presidential election of 1988 featured an open primary for both major parties. Ronald Reagan, the incumbent President, was vacating the position after serving the maximum two terms allowed by the Twenty-second Amendment. Reagan's Vice President, George H. W. Bush, won the Republican nomination, while the Democrats nominated Michael Dukakis, Governor of Massachusetts. Bush capitalized on a good economy, a stable international stage (the U.S. was not involved in any wars or conflicts during this time), and on Reagan's popularity. In this election, Bush became the first incumbent Vice President of the United States to win a presidential election in 152 years, since Martin Van Buren in 1836. Just like Van Buren in 1840, President Bush would also be defeated for reelection in 1992, after serving a single term.",9.2,R,54.2,1,-5,-3.6,47.8,-6.400000000,-151085,,426,GEORGE BUSH, ,53.4%,1047499,48886097,Midwest,2,-12.8,0.5,7,,Wisconsin,,Wisconsin,D,2191608,91594809,-51.4,R,1988
IA,Hex,8,18,% shift to the left,,,,Michael S. Dukakis,B,,Left,0,ü,54.7,8.8,64937,8,111,MICHAEL S. DUKAKIS,George Bush,45.6%,670557,41809074,5,3,,,,,,,,,,,,,"The United States presidential election of 1988 featured an open primary for both major parties. Ronald Reagan, the incumbent President, was vacating the position after serving the maximum two terms allowed by the Twenty-second Amendment. Reagan's Vice President, George H. W. Bush, won the Republican nomination, while the Democrats nominated Michael Dukakis, Governor of Massachusetts. Bush capitalized on a good economy, a stable international stage (the U.S. was not involved in any wars or conflicts during this time), and on Reagan's popularity. In this election, Bush became the first incumbent Vice President of the United States to win a presidential election in 152 years, since Martin Van Buren in 1836. Just like Van Buren in 1840, President Bush would also be defeated for reelection in 1992, after serving a single term.",7.4,R,53.3,1,-15,-10.2,44.5,-8.8,-157733,,426,GEORGE BUSH, ,53.4%,545355,48886097,Midwest,3,-17.6,0.5,5,,Iowa,,Iowa,D,1225614,91594809,-54.7,R,1988
DC,Hex,3,3,% shift to the right,,,,Michael S. Dukakis,E,,Right,0,ü,82.6,-2.800000000,-21001,3,111,MICHAEL S. DUKAKIS,George Bush,45.6%,159407,41809074,12,5,,,,,,,,,,,,,"The United States presidential election of 1988 featured an open primary for both major parties. Ronald Reagan, the incumbent President, was vacating the position after serving the maximum two terms allowed by the Twenty-second Amendment. Reagan's Vice President, George H. W. Bush, won the Republican nomination, while the Democrats nominated Michael Dukakis, Governor of Massachusetts. Bush capitalized on a good economy, a stable international stage (the U.S. was not involved in any wars or conflicts during this time), and on Reagan's popularity. In this election, Bush became the first incumbent Vice President of the United States to win a presidential election in 152 years, since Martin Van Buren in 1836. Just like Van Buren in 1840, President Bush would also be defeated for reelection in 1992, after serving a single term.",-71.7,D,-85.4,1,-70,-68.3,14.3,0.600000000,-1419,,426,GEORGE BUSH, ,53.4%,27590,48886097,Northeast,4,3.4,-0.5,10,,Dist. of Col.,,Dist. of Col.,D,192877,91594809,-82.6,R,1988
NY,Hex,36,12,% shift to the left,,,,Michael S. Dukakis,A,,Left,0,ü,51.6,5.8,228273,36,111,MICHAEL S. DUKAKIS,George Bush,45.6%,3347882,41809074,9.5,2,,,,,,,,,,,,,"The United States presidential election of 1988 featured an open primary for both major parties. Ronald Reagan, the incumbent President, was vacating the position after serving the maximum two terms allowed by the Twenty-second Amendment. Reagan's Vice President, George H. W. Bush, won the Republican nomination, while the Democrats nominated Michael Dukakis, Governor of Massachusetts. Bush capitalized on a good economy, a stable international stage (the U.S. was not involved in any wars or conflicts during this time), and on Reagan's popularity. In this election, Bush became the first incumbent Vice President of the United States to win a presidential election in 152 years, since Martin Van Buren in 1836. Just like Van Buren in 1840, President Bush would also be defeated for reelection in 1992, after serving a single term.",8,R,53.8,1,-5,-4.1,47.5,-6.3,-582892,,426,GEORGE BUSH, ,53.4%,3081871,48886097,Northeast,2,-12.1,0.5,9,,New York,,New York,D,6485683,91594809,-51.6,R,1988
RI,Hex,4,15,% shift to the left,,,,Michael S. Dukakis,B,,Left,0,ü,55.6,7.6,28017,4,111,MICHAEL S. DUKAKIS,George Bush,45.6%,225123,41809074,11.5,2,,,,,,,,,,,,,"The United States presidential election of 1988 featured an open primary for both major parties. Ronald Reagan, the incumbent President, was vacating the position after serving the maximum two terms allowed by the Twenty-second Amendment. Reagan's Vice President, George H. W. Bush, won the Republican nomination, while the Democrats nominated Michael Dukakis, Governor of Massachusetts. Bush capitalized on a good economy, a stable international stage (the U.S. was not involved in any wars or conflicts during this time), and on Reagan's popularity. In this election, Bush became the first incumbent Vice President of the United States to win a presidential election in 152 years, since Martin Van Buren in 1836. Just like Van Buren in 1840, President Bush would also be defeated for reelection in 1992, after serving a single term.",3.7,R,51.7,1,-15,-11.7,43.9,-7.8,-34319,,426,GEORGE BUSH, ,53.4%,177761,48886097,Northeast,2,-15.4,0.5,10,,Rhode Island,,Rhode Island,D,404620,91594809,-55.6,R,1988
MA,Hex,13,11,% shift to the left,,,,Michael S. Dukakis,A,,Left,0,ü,53.2,4.8,161809,13,111,MICHAEL S. DUKAKIS,George Bush,45.6%,1401415,41809074,10.5,2,,,,,,,,,,,,,"The United States presidential election of 1988 featured an open primary for both major parties. Ronald Reagan, the incumbent President, was vacating the position after serving the maximum two terms allowed by the Twenty-second Amendment. Reagan's Vice President, George H. W. Bush, won the Republican nomination, while the Democrats nominated Michael Dukakis, Governor of Massachusetts. Bush capitalized on a good economy, a stable international stage (the U.S. was not involved in any wars or conflicts during this time), and on Reagan's popularity. In this election, Bush became the first incumbent Vice President of the United States to win a presidential election in 152 years, since Martin Van Buren in 1836. Just like Van Buren in 1840, President Bush would also be defeated for reelection in 1992, after serving a single term.",2.8,R,51.2,1,-10,-7.8,45.4,-5.8,-116301,,426,GEORGE BUSH, ,53.4%,1194635,48886097,Northeast,2,-10.6,0.5,11,,Massachusetts,,Massachusetts,D,2632805,91594809,-53.2,R,1988
WV,Hex,5,15,% shift to the left,,,,Michael S. Dukakis,A,,Left,0,ü,52.2,7.6,12891,5,111,MICHAEL S. DUKAKIS,George Bush,45.6%,341016,41809074,7.5,4,,,,,,,,,,,,,"The United States presidential election of 1988 featured an open primary for both major parties. Ronald Reagan, the incumbent President, was vacating the position after serving the maximum two terms allowed by the Twenty-second Amendment. Reagan's Vice President, George H. W. Bush, won the Republican nomination, while the Democrats nominated Michael Dukakis, Governor of Massachusetts. Bush capitalized on a good economy, a stable international stage (the U.S. was not involved in any wars or conflicts during this time), and on Reagan's popularity. In this election, Bush became the first incumbent Vice President of the United States to win a presidential election in 152 years, since Martin Van Buren in 1836. Just like Van Buren in 1840, President Bush would also be defeated for reelection in 1992, after serving a single term.",10.5,R,55.1,1,-5,-4.7,47.5,-7.6,-95418,,426,GEORGE BUSH, ,53.4%,310065,48886097,South,4,-15.2,0.5,7,,West Virginia,,West Virginia,D,653311,91594809,-52.2,R,1988
WA,Hex,10,14,% shift to the left,,,,Michael S. Dukakis,A,,Left,0,ü,50.0,7.1,126164,10,111,MICHAEL S. DUKAKIS,George Bush,45.6%,933516,41809074,1.5,2,,,,,,,,,,,,,"The United States presidential election of 1988 featured an open primary for both major parties. Ronald Reagan, the incumbent President, was vacating the position after serving the maximum two terms allowed by the Twenty-second Amendment. Reagan's Vice President, George H. W. Bush, won the Republican nomination, while the Democrats nominated Michael Dukakis, Governor of Massachusetts. Bush capitalized on a good economy, a stable international stage (the U.S. was not involved in any wars or conflicts during this time), and on Reagan's popularity. In this election, Bush became the first incumbent Vice President of the United States to win a presidential election in 152 years, since Martin Van Buren in 1836. Just like Van Buren in 1840, President Bush would also be defeated for reelection in 1992, after serving a single term.",12.9,R,55.8,1,-5,-1.5,48.5,-7.3,-147835,,426,GEORGE BUSH, ,53.4%,903835,48886097,West,2,-14.4,0.5,1,,Washington,,Washington,D,1865253,91594809,-50,R,1988
OR,Hex,7,17,% shift to the left,,,,Michael S. Dukakis,A,,Left,0,ü,51.3,7.600000000,79727,7,111,MICHAEL S. DUKAKIS,George Bush,45.6%,616206,41809074,1.5,4,,,,,,,,,,,,,"The United States presidential election of 1988 featured an open primary for both major parties. Ronald Reagan, the incumbent President, was vacating the position after serving the maximum two terms allowed by the Twenty-second Amendment. Reagan's Vice President, George H. W. Bush, won the Republican nomination, while the Democrats nominated Michael Dukakis, Governor of Massachusetts. Bush capitalized on a good economy, a stable international stage (the U.S. was not involved in any wars or conflicts during this time), and on Reagan's popularity. In this election, Bush became the first incumbent Vice President of the United States to win a presidential election in 152 years, since Martin Van Buren in 1836. Just like Van Buren in 1840, President Bush would also be defeated for reelection in 1992, after serving a single term.",12.2,R,55.9,1,-5,-4.7,46.6,-9.3,-125574,,426,GEORGE BUSH, ,53.4%,560126,48886097,West,3,-16.9,0.5,1,,Oregon,,Oregon,D,1201694,91594809,-51.3,R,1988
