Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
KY,Hex,10,15,% shift to the right,,,,Adlai E. Stevenson,A,,Right,0,ü,49.9,-6.8,28973,10,89,ADLAI E. STEVENSON,Dwight D. Eisenhower,44.4%,495729,27314992,6.5,4,,,,,,,,,,,,,"The election of 1952 took place in an era when Cold War tension was escalating rapidly. In the United States Senate, Republican Senator Joseph McCarthy of Wisconsin had become a national figure after chairing congressional investigations into the issue of Communist spies within the U.S. government. McCarthy's so-called ""witch hunt"", combined with national tension and weariness after two years of bloody stalemate in the Korean War and the early 1950s recession, set the stage for a hotly-fought presidential contest. Unpopular incumbent President Harry S. Truman decided not to run, so the Democratic Party instead nominated Governor Adlai Stevenson of Illinois. The Republican Party countered with popular war hero General Dwight D. Eisenhower and won in a landslide, ending 20 consecutive years of Democratic control of the White House.",-15.2,D,-56.7,1,-5,-0.100000000,49.8,8.3,153819,,442,DWIGHT D. EISENHOWER, ,54.9%,495029,33777945,South,4,15.1,-0.5,6,,Kentucky,,Kentucky,D,993148,61550918,-49.9,R,1952
WV,Hex,8,11,% shift to the right,,,,Adlai E. Stevenson,A,,Right,0,ü,51.9,-5.4,24390,8,89,ADLAI E. STEVENSON,Dwight D. Eisenhower,44.4%,453578,27314992,7.5,4,,,,,,,,,,,,,"The election of 1952 took place in an era when Cold War tension was escalating rapidly. In the United States Senate, Republican Senator Joseph McCarthy of Wisconsin had become a national figure after chairing congressional investigations into the issue of Communist spies within the U.S. government. McCarthy's so-called ""witch hunt"", combined with national tension and weariness after two years of bloody stalemate in the Korean War and the early 1950s recession, set the stage for a hotly-fought presidential contest. Unpopular incumbent President Harry S. Truman decided not to run, so the Democratic Party instead nominated Governor Adlai Stevenson of Illinois. The Republican Party countered with popular war hero General Dwight D. Eisenhower and won in a landslide, ending 20 consecutive years of Democratic control of the White House.",-15.1,D,-57.3,1,-5,-3.8,48.1,5.9,103719,,442,DWIGHT D. EISENHOWER, ,54.9%,419970,33777945,South,4,11.3,-0.5,7,,West Virginia,,West Virginia,D,873548,61550918,-51.9,R,1952
AR,Hex,8,29,% shift to the right,,,,Adlai E. Stevenson,B,,Right,0,ü,55.9,-5.8,76641,8,89,ADLAI E. STEVENSON,Dwight D. Eisenhower,44.4%,226300,27314992,6,5,,,,,,,,,,,,,"The election of 1952 took place in an era when Cold War tension was escalating rapidly. In the United States Senate, Republican Senator Joseph McCarthy of Wisconsin had become a national figure after chairing congressional investigations into the issue of Communist spies within the U.S. government. McCarthy's so-called ""witch hunt"", combined with national tension and weariness after two years of bloody stalemate in the Korean War and the early 1950s recession, set the stage for a hotly-fought presidential contest. Unpopular incumbent President Harry S. Truman decided not to run, so the Democratic Party instead nominated Governor Adlai Stevenson of Illinois. The Republican Party countered with popular war hero General Dwight D. Eisenhower and won in a landslide, ending 20 consecutive years of Democratic control of the White House.",-40.7,D,-61.7,1,-15,-12.1,43.8,22.8,126196,,442,DWIGHT D. EISENHOWER, ,54.9%,177155,33777945,South,5,28.6,-0.5,5,,Arkansas,,Arkansas,D,404800,61550918,-55.9,R,1952
NC,Hex,14,18,% shift to the right,,,,Adlai E. Stevenson,A,,Right,0,ü,53.9,-4.1,193733,14,89,ADLAI E. STEVENSON,Dwight D. Eisenhower,44.4%,652803,27314992,9,5,,,,,,,,,,,,,"The election of 1952 took place in an era when Cold War tension was escalating rapidly. In the United States Senate, Republican Senator Joseph McCarthy of Wisconsin had become a national figure after chairing congressional investigations into the issue of Communist spies within the U.S. government. McCarthy's so-called ""witch hunt"", combined with national tension and weariness after two years of bloody stalemate in the Korean War and the early 1950s recession, set the stage for a hotly-fought presidential contest. Unpopular incumbent President Harry S. Truman decided not to run, so the Democratic Party instead nominated Governor Adlai Stevenson of Illinois. The Republican Party countered with popular war hero General Dwight D. Eisenhower and won in a landslide, ending 20 consecutive years of Democratic control of the White House.",-25.3,D,-58,1,-10,-7.8,46.1,13.4,299535,,442,DWIGHT D. EISENHOWER, ,54.9%,558107,33777945,South,5,17.5,-0.5,7,,North Carolina,,North Carolina,D,1210910,61550918,-53.9,R,1952
GA,Hex,12,3,% shift to the right,,,,Adlai E. Stevenson,D,,Right,0,ü,69.7,8.900000000,202177,12,89,ADLAI E. STEVENSON,Dwight D. Eisenhower,44.4%,456823,27314992,8,7,,,,,,,,,,,,,"The election of 1952 took place in an era when Cold War tension was escalating rapidly. In the United States Senate, Republican Senator Joseph McCarthy of Wisconsin had become a national figure after chairing congressional investigations into the issue of Communist spies within the U.S. government. McCarthy's so-called ""witch hunt"", combined with national tension and weariness after two years of bloody stalemate in the Korean War and the early 1950s recession, set the stage for a hotly-fought presidential contest. Unpopular incumbent President Harry S. Truman decided not to run, so the Democratic Party instead nominated Governor Adlai Stevenson of Illinois. The Republican Party countered with popular war hero General Dwight D. Eisenhower and won in a landslide, ending 20 consecutive years of Democratic control of the White House.",-42.5,D,-60.8,1,-40,-39.4,30.3,12,122270,,442,DWIGHT D. EISENHOWER, ,54.9%,198961,33777945,South,6,3.1,-0.5,8,,Georgia,,Georgia,D,655785,61550918,-69.7,R,1952
SC,Hex,8,48,% shift to the left,,,,Adlai E. Stevenson,E,,Left,0,ü,50.7,26.6,138581,8,89,ADLAI E. STEVENSON,Dwight D. Eisenhower,44.4%,173004,27314992,8.5,6,,,,,,,,,,,,,"The election of 1952 took place in an era when Cold War tension was escalating rapidly. In the United States Senate, Republican Senator Joseph McCarthy of Wisconsin had become a national figure after chairing congressional investigations into the issue of Communist spies within the U.S. government. McCarthy's so-called ""witch hunt"", combined with national tension and weariness after two years of bloody stalemate in the Korean War and the early 1950s recession, set the stage for a hotly-fought presidential contest. Unpopular incumbent President Harry S. Truman decided not to run, so the Democratic Party instead nominated Governor Adlai Stevenson of Illinois. The Republican Party countered with popular war hero General Dwight D. Eisenhower and won in a landslide, ending 20 consecutive years of Democratic control of the White House.",0,I,0,1,-50,-47.8,2.9,-0.9,4407,,442,DWIGHT D. EISENHOWER, ,54.9%,9793,33777945,South,5,-47.8,0.5,8,,South Carolina,,South Carolina,D,341087,61550918,-50.7,R,1952
LA,Hex,10,6,% shift to the left,,,,Adlai E. Stevenson,A,,Left,0,ü,52.9,20.2,208683,10,89,ADLAI E. STEVENSON,Dwight D. Eisenhower,44.4%,345027,27314992,5.5,6,,,,,,,,,,,,,"The election of 1952 took place in an era when Cold War tension was escalating rapidly. In the United States Senate, Republican Senator Joseph McCarthy of Wisconsin had become a national figure after chairing congressional investigations into the issue of Communist spies within the U.S. government. McCarthy's so-called ""witch hunt"", combined with national tension and weariness after two years of bloody stalemate in the Korean War and the early 1950s recession, set the stage for a hotly-fought presidential contest. Unpopular incumbent President Harry S. Truman decided not to run, so the Democratic Party instead nominated Governor Adlai Stevenson of Illinois. The Republican Party countered with popular war hero General Dwight D. Eisenhower and won in a landslide, ending 20 consecutive years of Democratic control of the White House.",0,I,0,1,-10,-5.8,47.1,29.6,234268,,442,DWIGHT D. EISENHOWER, ,54.9%,306925,33777945,South,6,-5.8,0.5,5,,Louisiana,,Louisiana,D,651952,61550918,-52.9,R,1952
MS,Hex,8,21,% shift to the left,,,,Adlai E. Stevenson,C,,Left,0,ü,60.4,50.3,153182,8,89,ADLAI E. STEVENSON,Dwight D. Eisenhower,44.4%,172566,27314992,6.5,6,,,,,,,,,,,,,"The election of 1952 took place in an era when Cold War tension was escalating rapidly. In the United States Senate, Republican Senator Joseph McCarthy of Wisconsin had become a national figure after chairing congressional investigations into the issue of Communist spies within the U.S. government. McCarthy's so-called ""witch hunt"", combined with national tension and weariness after two years of bloody stalemate in the Korean War and the early 1950s recession, set the stage for a hotly-fought presidential contest. Unpopular incumbent President Harry S. Truman decided not to run, so the Democratic Party instead nominated Governor Adlai Stevenson of Illinois. The Republican Party countered with popular war hero General Dwight D. Eisenhower and won in a landslide, ending 20 consecutive years of Democratic control of the White House.",0,I,0,1,-25,-20.8,39.6,37,107923,,442,DWIGHT D. EISENHOWER, ,54.9%,112966,33777945,South,6,-20.8,0.5,6,,Mississippi,,Mississippi,D,285532,61550918,-60.4,R,1952
AL,Hex,11,30,% shift to the left,,,,Adlai E. Stevenson,C,,Left,0,ü,64.6,63.387329054,272468,11,89,ADLAI E. STEVENSON,Dwight D. Eisenhower,44.4%,275075,27314992,7.5,6,,,,,,,,,,,,,"The election of 1952 took place in an era when Cold War tension was escalating rapidly. In the United States Senate, Republican Senator Joseph McCarthy of Wisconsin had become a national figure after chairing congressional investigations into the issue of Communist spies within the U.S. government. McCarthy's so-called ""witch hunt"", combined with national tension and weariness after two years of bloody stalemate in the Korean War and the early 1950s recession, set the stage for a hotly-fought presidential contest. Unpopular incumbent President Harry S. Truman decided not to run, so the Democratic Party instead nominated Governor Adlai Stevenson of Illinois. The Republican Party countered with popular war hero General Dwight D. Eisenhower and won in a landslide, ending 20 consecutive years of Democratic control of the White House.",0,I,0,1,-30,-29.6,35.0,16,108301,,442,DWIGHT D. EISENHOWER, ,54.9%,149231,33777945,South,6,-29.6,0.5,7,,Alabama,,Alabama,D,426120,61550918,-64.6,R,1952
MN,Hex,11,29,% shift to the right,,,,Adlai E. Stevenson,G,,Right,0,ü,44.1,-13.1,-84508,,89,ADLAI E. STEVENSON,Dwight D. Eisenhower,44.4%,608458,27314992,4.5,2,,,,,,,,,,,,,"The election of 1952 took place in an era when Cold War tension was escalating rapidly. In the United States Senate, Republican Senator Joseph McCarthy of Wisconsin had become a national figure after chairing congressional investigations into the issue of Communist spies within the U.S. government. McCarthy's so-called ""witch hunt"", combined with national tension and weariness after two years of bloody stalemate in the Korean War and the early 1950s recession, set the stage for a hotly-fought presidential contest. Unpopular incumbent President Harry S. Truman decided not to run, so the Democratic Party instead nominated Governor Adlai Stevenson of Illinois. The Republican Party countered with popular war hero General Dwight D. Eisenhower and won in a landslide, ending 20 consecutive years of Democratic control of the White House.",-17.3,D,-57.2,1,10,11.2,55.3,15.4,279594,11,442,DWIGHT D. EISENHOWER, ,54.9%,763211,33777945,Midwest,2,28.5,-0.5,5,Minnesota,,,Minnesota,R,1379483,61550918,55.3,R,1952
