Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MN,Hex,11,2,% shift to the left,,,ü,Franklin D. Roosevelt,A,,Left,0,,52.4,0.900000000,-54332,11,432,FRANKLIN D. ROOSEVELT,Thomas E. Dewey,53.4%,589864,25612610,4.5,2,,,,,,,,,,,,,"The United States presidential election of 1944 took place while the United States was preoccupied with fighting World War II. President Franklin D. Roosevelt (FDR) had been in office longer than any other president, but remained popular. Unlike 1940, there was little doubt that Roosevelt would run for another term as the Democratic candidate. His Republican opponent in 1944 was New York Governor Thomas E. Dewey. Dewey ran an energetic campaign, but there was little doubt, in the midst of a world war, that FDR would win a record fourth term.",-3.8,D,-51.5,1,-10,-5.5,46.9,-0.800000000,-68858,,99,THOMAS E. DEWEY, ,45.9%,527416,22014160,Midwest,2,-1.7,0.5,5,,Minnesota,,Minnesota,D,1125504,47976670,-52.4,D,1944
IL,Hex,28,1,% shift to the left,,,ü,Franklin D. Roosevelt,A,,Left,0,,51.5,0.5,-70455,28,432,FRANKLIN D. ROOSEVELT,Thomas E. Dewey,53.4%,2079479,25612610,6,3,,,,,,,,,,,,,"The United States presidential election of 1944 took place while the United States was preoccupied with fighting World War II. President Franklin D. Roosevelt (FDR) had been in office longer than any other president, but remained popular. Unlike 1940, there was little doubt that Roosevelt would run for another term as the Democratic candidate. His Republican opponent in 1944 was New York Governor Thomas E. Dewey. Dewey ran an energetic campaign, but there was little doubt, in the midst of a world war, that FDR would win a record fourth term.",-2.5,D,-51,1,-5,-3.5,48.0,-0.5,-107926,,99,THOMAS E. DEWEY, ,45.9%,1939314,22014160,Midwest,2,-1.0,0.5,6,,Illinois,,Illinois,D,4036061,47976670,-51.5,D,1944
MO,Hex,15,2,% shift to the right,,,ü,Franklin D. Roosevelt,A,,Right,0,,51.4,-0.900000000,-151120,15,432,FRANKLIN D. ROOSEVELT,Thomas E. Dewey,53.4%,807356,25612610,5.5,4,,,,,,,,,,,,,"The United States presidential election of 1944 took place while the United States was preoccupied with fighting World War II. President Franklin D. Roosevelt (FDR) had been in office longer than any other president, but remained popular. Unlike 1940, there was little doubt that Roosevelt would run for another term as the Democratic candidate. His Republican opponent in 1944 was New York Governor Thomas E. Dewey. Dewey ran an energetic campaign, but there was little doubt, in the midst of a world war, that FDR would win a record fourth term.",-4.8,D,-52.3,1,-5,-3,48.4,0.900000000,-109834,,99,THOMAS E. DEWEY, ,45.9%,761175,22014160,Midwest,4,1.8,-0.5,5,,Missouri,,Missouri,D,1571697,47976670,-51.4,D,1944
MI,Hex,19,1,% shift to the left,,,ü,Franklin D. Roosevelt,A,,Left,0,,50.2,0.700000000,73908,19,432,FRANKLIN D. ROOSEVELT,Thomas E. Dewey,53.4%,1106899,25612610,7.5,2,,,,,,,,,,,,,"The United States presidential election of 1944 took place while the United States was preoccupied with fighting World War II. President Franklin D. Roosevelt (FDR) had been in office longer than any other president, but remained popular. Unlike 1940, there was little doubt that Roosevelt would run for another term as the Democratic candidate. His Republican opponent in 1944 was New York Governor Thomas E. Dewey. Dewey ran an energetic campaign, but there was little doubt, in the midst of a world war, that FDR would win a record fourth term.",0.400000000,R,49.9,1,-5,-1,49.2,-0.700000000,44506,,99,THOMAS E. DEWEY, ,45.9%,1084423,22014160,Midwest,2,-1.4,0.5,8,,Michigan,,Michigan,D,2205223,47976670,-50.2,D,1944
NH,Hex,4,2,% shift to the right,,,ü,Franklin D. Roosevelt,A,,Right,0,,52.1,-1.1,-5629,4,432,FRANKLIN D. ROOSEVELT,Thomas E. Dewey,53.4%,119663,25612610,11,1,,,,,,,,,,,,,"The United States presidential election of 1944 took place while the United States was preoccupied with fighting World War II. President Franklin D. Roosevelt (FDR) had been in office longer than any other president, but remained popular. Unlike 1940, there was little doubt that Roosevelt would run for another term as the Democratic candidate. His Republican opponent in 1944 was New York Governor Thomas E. Dewey. Dewey ran an energetic campaign, but there was little doubt, in the midst of a world war, that FDR would win a record fourth term.",-6.400000000,D,-53.2,1,-5,-4.2,47.9,1.1,-211,,99,THOMAS E. DEWEY, ,45.9%,109916,22014160,Northeast,1,2.2,-0.5,11,,New Hampshire,,New Hampshire,D,229625,47976670,-52.1,D,1944
NY,Hex,47,1,% shift to the left,,,ü,Franklin D. Roosevelt,A,,Left,0,,52.3,0.700000000,52320,47,432,FRANKLIN D. ROOSEVELT,Thomas E. Dewey,53.4%,3304238,25612610,9.5,2,,,,,,,,,,,,,"The United States presidential election of 1944 took place while the United States was preoccupied with fighting World War II. President Franklin D. Roosevelt (FDR) had been in office longer than any other president, but remained popular. Unlike 1940, there was little doubt that Roosevelt would run for another term as the Democratic candidate. His Republican opponent in 1944 was New York Governor Thomas E. Dewey. Dewey ran an energetic campaign, but there was little doubt, in the midst of a world war, that FDR would win a record fourth term.",-3.6,D,-51.6,1,-5,-5,47.3,-0.700000000,-39831,,99,THOMAS E. DEWEY, ,45.9%,2987647,22014160,Northeast,2,-1.4,0.5,9,,New York,,New York,D,6316790,47976670,-52.3,D,1944
RI,Hex,4,4,% shift to the left,,,ü,Franklin D. Roosevelt,B,,Left,0,,58.6,1.9,-6825,4,432,FRANKLIN D. ROOSEVELT,Thomas E. Dewey,53.4%,175356,25612610,11.5,2,,,,,,,,,,,,,"The United States presidential election of 1944 took place while the United States was preoccupied with fighting World War II. President Franklin D. Roosevelt (FDR) had been in office longer than any other president, but remained popular. Unlike 1940, there was little doubt that Roosevelt would run for another term as the Democratic candidate. His Republican opponent in 1944 was New York Governor Thomas E. Dewey. Dewey ran an energetic campaign, but there was little doubt, in the midst of a world war, that FDR would win a record fourth term.",-13.5,D,-56.7,1,-20,-17.3,41.3,-1.900000000,-15167,,99,THOMAS E. DEWEY, ,45.9%,123487,22014160,Northeast,2,-3.8,0.5,10,,Rhode Island,,Rhode Island,D,299276,47976670,-58.6,D,1944
MA,Hex,16,1,% shift to the right,,,ü,Franklin D. Roosevelt,A,,Right,0,,52.8,-0.300000000,-41226,16,432,FRANKLIN D. ROOSEVELT,Thomas E. Dewey,53.4%,1035296,25612610,10.5,2,,,,,,,,,,,,,"The United States presidential election of 1944 took place while the United States was preoccupied with fighting World War II. President Franklin D. Roosevelt (FDR) had been in office longer than any other president, but remained popular. Unlike 1940, there was little doubt that Roosevelt would run for another term as the Democratic candidate. His Republican opponent in 1944 was New York Governor Thomas E. Dewey. Dewey ran an energetic campaign, but there was little doubt, in the midst of a world war, that FDR would win a record fourth term.",-6.7,D,-53.1,1,-10,-5.8,47.0,0.600000000,-18350,,99,THOMAS E. DEWEY, ,45.9%,921350,22014160,Northeast,2,0.9,-0.5,11,,Massachusetts,,Massachusetts,D,1960665,47976670,-52.8,D,1944
PA,Hex,35,4,% shift to the right,,,ü,Franklin D. Roosevelt,A,,Right,0,,51.1,-2.1,-230556,35,432,FRANKLIN D. ROOSEVELT,Thomas E. Dewey,53.4%,1940479,25612610,9,3,,,,,,,,,,,,,"The United States presidential election of 1944 took place while the United States was preoccupied with fighting World War II. President Franklin D. Roosevelt (FDR) had been in office longer than any other president, but remained popular. Unlike 1940, there was little doubt that Roosevelt would run for another term as the Democratic candidate. His Republican opponent in 1944 was New York Governor Thomas E. Dewey. Dewey ran an energetic campaign, but there was little doubt, in the midst of a world war, that FDR would win a record fourth term.",-6.900000000,D,-53.2,1,-5,-2.7,48.4,2.1,-54794,,99,THOMAS E. DEWEY, ,45.9%,1835054,22014160,Northeast,3,4.2,-0.5,8,,Pennsylvania,,Pennsylvania,D,3794793,47976670,-51.1,D,1944
NJ,Hex,16,2,% shift to the right,,,ü,Franklin D. Roosevelt,A,,Right,0,,50.3,-1.2,-28934,16,432,FRANKLIN D. ROOSEVELT,Thomas E. Dewey,53.4%,987874,25612610,10,3,,,,,,,,,,,,,"The United States presidential election of 1944 took place while the United States was preoccupied with fighting World War II. President Franklin D. Roosevelt (FDR) had been in office longer than any other president, but remained popular. Unlike 1940, there was little doubt that Roosevelt would run for another term as the Democratic candidate. His Republican opponent in 1944 was New York Governor Thomas E. Dewey. Dewey ran an energetic campaign, but there was little doubt, in the midst of a world war, that FDR would win a record fourth term.",-3.6,D,-51.5,1,-5,-1.3,49.0,1.1,15860,,99,THOMAS E. DEWEY, ,45.9%,961335,22014160,Northeast,3,2.3,-0.5,9,,New Jersey,,New Jersey,D,1963761,47976670,-50.3,D,1944
