Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MN,Hex,11,27,% shift to the right,,,ü,Franklin D. Roosevelt,A,,Right,0,,51.5,-10.3,-54615,11,449,FRANKLIN D. ROOSEVELT,Wendell Willkie,54.7%,644196,27243218,4.5,2,,,,,,,,,,,,,"The election of 1940 was fought in the shadow of World War II as the United States was emerging from the Great Depression. Incumbent President Franklin D. Roosevelt (FDR), a Democrat, broke with tradition and ran for a third term, which became a major issue. The Republican candidate was maverick businessman Wendell Willkie, a dark horse who crusaded against Roosevelt's failure to end the Depression and eagerness for war. Roosevelt, aware of strong isolationist sentiment in the U.S., promised there would be no foreign wars if he were reelected. Willkie conducted an energetic campaign and managed to revive Republican strength in areas of the Midwest and Northeast. However, Roosevelt won a comfortable victory by building strong support from labor unions, big-city political machines, ethnic voters, and the traditionally Democratic Solid South.",-30.8,D,-61.8,1,-5,-3.8,47.7,16.7,245813,,82,WENDELL WILLKIE, ,44.8%,596274,22334940,Midwest,2,27.0,-0.5,5,,Minnesota,,Minnesota,D,1251188,49817149,-51.5,D,1940
WI,Hex,12,32,% shift to the right,,,ü,Franklin D. Roosevelt,A,,Right,0,,50.1,-13.7,-98163,12,449,FRANKLIN D. ROOSEVELT,Wendell Willkie,54.7%,704821,27243218,5.5,2,,,,,,,,,,,,,"The election of 1940 was fought in the shadow of World War II as the United States was emerging from the Great Depression. Incumbent President Franklin D. Roosevelt (FDR), a Democrat, broke with tradition and ran for a third term, which became a major issue. The Republican candidate was maverick businessman Wendell Willkie, a dark horse who crusaded against Roosevelt's failure to end the Depression and eagerness for war. Roosevelt, aware of strong isolationist sentiment in the U.S., promised there would be no foreign wars if he were reelected. Willkie conducted an energetic campaign and managed to revive Republican strength in areas of the Midwest and Northeast. However, Roosevelt won a comfortable victory by building strong support from labor unions, big-city political machines, ethnic voters, and the traditionally Democratic Solid South.",-33.5,D,-63.8,1,-5,-1.8,48.3,18,298378,,82,WENDELL WILLKIE, ,44.8%,679206,22334940,Midwest,2,31.7,-0.5,7,,Wisconsin,,Wisconsin,D,1405522,49817149,-50.1,D,1940
IL,Hex,29,16,% shift to the right,,,ü,Franklin D. Roosevelt,A,,Right,0,,51.0,-6.7,-133065,29,449,FRANKLIN D. ROOSEVELT,Wendell Willkie,54.7%,2149934,27243218,6,3,,,,,,,,,,,,,"The election of 1940 was fought in the shadow of World War II as the United States was emerging from the Great Depression. Incumbent President Franklin D. Roosevelt (FDR), a Democrat, broke with tradition and ran for a third term, which became a major issue. The Republican candidate was maverick businessman Wendell Willkie, a dark horse who crusaded against Roosevelt's failure to end the Depression and eagerness for war. Roosevelt, aware of strong isolationist sentiment in the U.S., promised there would be no foreign wars if he were reelected. Willkie conducted an energetic campaign and managed to revive Republican strength in areas of the Midwest and Northeast. However, Roosevelt won a comfortable victory by building strong support from labor unions, big-city political machines, ethnic voters, and the traditionally Democratic Solid South.",-18,D,-57.7,1,-5,-2.5,48.5,8.8,476847,,82,WENDELL WILLKIE, ,44.8%,2047240,22334940,Midwest,2,15.5,-0.5,6,,Illinois,,Illinois,D,4217935,49817149,-51,D,1940
OH,Hex,26,16,% shift to the right,,,ü,Franklin D. Roosevelt,A,,Right,0,,52.2,-5.8,-14001,26,449,FRANKLIN D. ROOSEVELT,Wendell Willkie,54.7%,1733139,27243218,8,3,,,,,,,,,,,,,"The election of 1940 was fought in the shadow of World War II as the United States was emerging from the Great Depression. Incumbent President Franklin D. Roosevelt (FDR), a Democrat, broke with tradition and ran for a third term, which became a major issue. The Republican candidate was maverick businessman Wendell Willkie, a dark horse who crusaded against Roosevelt's failure to end the Depression and eagerness for war. Roosevelt, aware of strong isolationist sentiment in the U.S., promised there would be no foreign wars if he were reelected. Willkie conducted an energetic campaign and managed to revive Republican strength in areas of the Midwest and Northeast. However, Roosevelt won a comfortable victory by building strong support from labor unions, big-city political machines, ethnic voters, and the traditionally Democratic Solid South.",-20.6,D,-58,1,-5,-4.400000000,47.8,10.4,458918,,82,WENDELL WILLKIE, ,44.8%,1586773,22334940,Midwest,3,16.2,-0.5,7,,Ohio,,Ohio,D,3319912,49817149,-52.2,D,1940
MO,Hex,15,18,% shift to the right,,,ü,Franklin D. Roosevelt,A,,Right,0,,52.3,-8.5,-152567,15,449,FRANKLIN D. ROOSEVELT,Wendell Willkie,54.7%,958476,27243218,5.5,4,,,,,,,,,,,,,"The election of 1940 was fought in the shadow of World War II as the United States was emerging from the Great Depression. Incumbent President Franklin D. Roosevelt (FDR), a Democrat, broke with tradition and ran for a third term, which became a major issue. The Republican candidate was maverick businessman Wendell Willkie, a dark horse who crusaded against Roosevelt's failure to end the Depression and eagerness for war. Roosevelt, aware of strong isolationist sentiment in the U.S., promised there would be no foreign wars if he were reelected. Willkie conducted an energetic campaign and managed to revive Republican strength in areas of the Midwest and Northeast. However, Roosevelt won a comfortable victory by building strong support from labor unions, big-city political machines, ethnic voters, and the traditionally Democratic Solid South.",-22.6,D,-60.8,1,-5,-4.8,47.5,9.3,173118,,82,WENDELL WILLKIE, ,44.8%,871009,22334940,Midwest,4,17.8,-0.5,5,,Missouri,,Missouri,D,1833729,49817149,-52.3,D,1940
NH,Hex,4,5,% shift to the left,,,ü,Franklin D. Roosevelt,A,,Left,0,,53.2,3.5,16832,4,449,FRANKLIN D. ROOSEVELT,Wendell Willkie,54.7%,125292,27243218,11,1,,,,,,,,,,,,,"The election of 1940 was fought in the shadow of World War II as the United States was emerging from the Great Depression. Incumbent President Franklin D. Roosevelt (FDR), a Democrat, broke with tradition and ran for a third term, which became a major issue. The Republican candidate was maverick businessman Wendell Willkie, a dark horse who crusaded against Roosevelt's failure to end the Depression and eagerness for war. Roosevelt, aware of strong isolationist sentiment in the U.S., promised there would be no foreign wars if he were reelected. Willkie conducted an energetic campaign and managed to revive Republican strength in areas of the Midwest and Northeast. However, Roosevelt won a comfortable victory by building strong support from labor unions, big-city political machines, ethnic voters, and the traditionally Democratic Solid South.",-1.7,D,-49.7,1,-10,-6.400000000,46.8,-1.2,5485,,82,WENDELL WILLKIE, ,44.8%,110127,22334940,Northeast,1,-4.7,0.5,11,,New Hampshire,,New Hampshire,D,235419,49817149,-53.2,D,1940
NY,Hex,47,16,% shift to the right,,,ü,Franklin D. Roosevelt,A,,Right,0,,51.6,-7.2,-41304,47,449,FRANKLIN D. ROOSEVELT,Wendell Willkie,54.7%,3251918,27243218,9.5,2,,,,,,,,,,,,,"The election of 1940 was fought in the shadow of World War II as the United States was emerging from the Great Depression. Incumbent President Franklin D. Roosevelt (FDR), a Democrat, broke with tradition and ran for a third term, which became a major issue. The Republican candidate was maverick businessman Wendell Willkie, a dark horse who crusaded against Roosevelt's failure to end the Depression and eagerness for war. Roosevelt, aware of strong isolationist sentiment in the U.S., promised there would be no foreign wars if he were reelected. Willkie conducted an energetic campaign and managed to revive Republican strength in areas of the Midwest and Northeast. However, Roosevelt won a comfortable victory by building strong support from labor unions, big-city political machines, ethnic voters, and the traditionally Democratic Solid South.",-19.8,D,-58.8,1,-5,-3.6,48.0,9,846808,,82,WENDELL WILLKIE, ,44.8%,3027478,22334940,Northeast,2,16.2,-0.5,9,,New York,,New York,D,6301596,49817149,-51.6,D,1940
RI,Hex,4,1,% shift to the left,,,ü,Franklin D. Roosevelt,B,,Left,0,,56.7,3.7,17843,4,449,FRANKLIN D. ROOSEVELT,Wendell Willkie,54.7%,182181,27243218,11.5,2,,,,,,,,,,,,,"The election of 1940 was fought in the shadow of World War II as the United States was emerging from the Great Depression. Incumbent President Franklin D. Roosevelt (FDR), a Democrat, broke with tradition and ran for a third term, which became a major issue. The Republican candidate was maverick businessman Wendell Willkie, a dark horse who crusaded against Roosevelt's failure to end the Depression and eagerness for war. Roosevelt, aware of strong isolationist sentiment in the U.S., promised there would be no foreign wars if he were reelected. Willkie conducted an energetic campaign and managed to revive Republican strength in areas of the Midwest and Northeast. However, Roosevelt won a comfortable victory by building strong support from labor unions, big-city political machines, ethnic voters, and the traditionally Democratic Solid South.",-12.7,D,-53,1,-15,-13.5,43.2,2.900000000,13623,,82,WENDELL WILLKIE, ,44.8%,138654,22334940,Northeast,2,-0.8,0.5,10,,Rhode Island,,Rhode Island,D,321152,49817149,-56.7,D,1940
MA,Hex,17,3,% shift to the right,,,ü,Franklin D. Roosevelt,A,,Right,0,,53.1,1.9,133806,17,449,FRANKLIN D. ROOSEVELT,Wendell Willkie,54.7%,1076522,27243218,10.5,2,,,,,,,,,,,,,"The election of 1940 was fought in the shadow of World War II as the United States was emerging from the Great Depression. Incumbent President Franklin D. Roosevelt (FDR), a Democrat, broke with tradition and ran for a third term, which became a major issue. The Republican candidate was maverick businessman Wendell Willkie, a dark horse who crusaded against Roosevelt's failure to end the Depression and eagerness for war. Roosevelt, aware of strong isolationist sentiment in the U.S., promised there would be no foreign wars if he were reelected. Willkie conducted an energetic campaign and managed to revive Republican strength in areas of the Midwest and Northeast. However, Roosevelt won a comfortable victory by building strong support from labor unions, big-city political machines, ethnic voters, and the traditionally Democratic Solid South.",-9.400000000,D,-51.2,1,-10,-6.7,46.4,4.6,171087,,82,WENDELL WILLKIE, ,44.8%,939700,22334940,Northeast,2,2.7,-0.5,11,,Massachusetts,,Massachusetts,D,2026993,49817149,-53.1,D,1940
PA,Hex,36,9,% shift to the right,,,ü,Franklin D. Roosevelt,A,,Right,0,,53.2,-3.7,-182753,36,449,FRANKLIN D. ROOSEVELT,Wendell Willkie,54.7%,2171035,27243218,9,3,,,,,,,,,,,,,"The election of 1940 was fought in the shadow of World War II as the United States was emerging from the Great Depression. Incumbent President Franklin D. Roosevelt (FDR), a Democrat, broke with tradition and ran for a third term, which became a major issue. The Republican candidate was maverick businessman Wendell Willkie, a dark horse who crusaded against Roosevelt's failure to end the Depression and eagerness for war. Roosevelt, aware of strong isolationist sentiment in the U.S., promised there would be no foreign wars if he were reelected. Willkie conducted an energetic campaign and managed to revive Republican strength in areas of the Midwest and Northeast. However, Roosevelt won a comfortable victory by building strong support from labor unions, big-city political machines, ethnic voters, and the traditionally Democratic Solid South.",-16.1,D,-56.9,1,-10,-6.900000000,46.3,5.5,199548,,82,WENDELL WILLKIE, ,44.8%,1889848,22334940,Northeast,3,9.2,-0.5,8,,Pennsylvania,,Pennsylvania,D,4078714,49817149,-53.2,D,1940
