Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MN,Hex,10,9,% shift to the right,John Anderson:	,,,Jimmy Carter,A,,Right,0,ü,46.5,-8.4,-116266,10,49,JIMMY CARTER,Ronald Reagan,41.0%,954174,35483883,4.5,2,8.5,,,● ,),%), (,JOHN ANDERSON,6.6%,174990,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-12.9,D,-54.9,1,-5,-3.9,42.6,0.600000000,53873,,489,RONALD REAGAN,John Anderson,50.7%,873268,43904153,Midwest,2,9.0,-0.5,5,,Minnesota,,Minnesota,D,2051980,86513813,-46.5,R,1980
RI,Hex,4,1,% shift to the right,John Anderson:	,,,Jimmy Carter,B,,Right,0,ü,47.7,-7.7,-29294,4,49,JIMMY CARTER,Ronald Reagan,41.0%,198342,35483883,11.5,2,14.4,,,● ,),%), (,JOHN ANDERSON,6.6%,59819,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-11.3,D,-55.4,1,-15,-10.5,37.2,-6.9,-26456,,489,RONALD REAGAN,John Anderson,50.7%,154793,43904153,Northeast,2,0.8,-0.5,10,,Rhode Island,,Rhode Island,D,416072,86513813,-47.7,R,1980
DC,Hex,3,4,% shift to the right,John Anderson:	,,,Jimmy Carter,E,,Right,0,ü,74.8,-6.8,-6705,3,49,JIMMY CARTER,Ronald Reagan,41.0%,131113,35483883,12,5,9.3,,,● ,),%), (,JOHN ANDERSON,6.6%,16337,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-65.1,D,-81.6,1,-65,-61.4,13.4,-3.1,-4328,,489,RONALD REAGAN,John Anderson,50.7%,23545,43904153,Northeast,4,3.7,-0.5,10,,Dist. of Col.,,Dist. of Col.,D,175237,86513813,-74.8,R,1980
WV,Hex,6,12,% shift to the right,John Anderson:	,,,Jimmy Carter,A,,Right,0,ü,49.8,-8.2,-68452,6,49,JIMMY CARTER,Ronald Reagan,41.0%,367462,35483883,7.5,4,4.3,,,● ,),%), (,JOHN ANDERSON,6.6%,31691,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-16.1,D,-58,1,-5,-4.5,45.3,3.4,19446,,489,RONALD REAGAN,John Anderson,50.7%,334206,43904153,South,4,11.6,-0.5,7,,West Virginia,,West Virginia,D,737715,86513813,-49.8,R,1980
MD,Hex,10,3,% shift to the right,John Anderson:	,,,Jimmy Carter,A,,Right,0,ü,47.1,-5.7,-33451,10,49,JIMMY CARTER,Ronald Reagan,41.0%,726161,35483883,8.5,4,7.8,,,● ,),%), (,JOHN ANDERSON,6.6%,119537,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-6.100000000,D,-52.8,1,-5,-2.9,44.2,-2.5,7945,,489,RONALD REAGAN,John Anderson,50.7%,680606,43904153,South,4,3.2,-0.5,9,,Maryland,,Maryland,D,1540496,86513813,-47.1,R,1980
GA,Hex,12,19,% shift to the right,John Anderson:	,,,Jimmy Carter,B,,Right,0,ü,55.8,-10.9,-88676,12,49,JIMMY CARTER,Ronald Reagan,41.0%,890733,35483883,8,7,2.3,,,● ,),%), (,JOHN ANDERSON,6.6%,36055,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-33.7,D,-66.7,1,-15,-14.8,41.0,8,170425,,489,RONALD REAGAN,John Anderson,50.7%,654168,43904153,South,6,18.9,-0.5,8,,Georgia,,Georgia,D,1596695,86513813,-55.8,R,1980
HI,Hex,4,1,% shift to the right,John Anderson:	,,,Jimmy Carter,A,,Right,0,ü,44.8,-5.8,-11496,4,49,JIMMY CARTER,Ronald Reagan,41.0%,135879,35483883,-0.5,5,10.6,,,● ,),%), (,JOHN ANDERSON,6.6%,32021,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-2.5,D,-50.6,1,-5,-1.9,42.9,-5.2,-9891,,489,RONALD REAGAN,John Anderson,50.7%,130112,43904153,West,7,0.6,-0.5,1,,Hawaii,,Hawaii,D,303287,86513813,-44.8,R,1980
WI,Hex,11,6,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,43.2,-6.2,-58648,,49,JIMMY CARTER,Ronald Reagan,41.0%,981584,35483883,5.5,2,7.1,,,● ,),%), (,JOHN ANDERSON,6.6%,160657,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-1.6,D,-49.4,1,0,4.7,47.9,0.100000000,83858,11,489,RONALD REAGAN,John Anderson,50.7%,1088845,43904153,Midwest,2,6.3,-0.5,7,Wisconsin,,,Wisconsin,R,2273221,86513813,47.9,R,1980
OH,Hex,25,11,% shift to the right,John Anderson:	,,,Jimmy Carter,G,,Right,0,ü,40.9,-8,-259207,,49,JIMMY CARTER,Ronald Reagan,41.0%,1752414,35483883,8,3,5.9,,,● ,),%), (,JOHN ANDERSON,6.6%,254472,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-0.200000000,D,-48.9,1,10,10.6,51.5,2.8,206040,25,489,RONALD REAGAN,John Anderson,50.7%,2206545,43904153,Midwest,3,10.8,-0.5,7,Ohio,,,Ohio,R,4283603,86513813,51.5,R,1980
MO,Hex,12,11,% shift to the right,John Anderson:	,,,Jimmy Carter,F,,Right,0,ü,44.3,-6.8,-67205,,49,JIMMY CARTER,Ronald Reagan,41.0%,931182,35483883,5.5,4,3.7,,,● ,),%), (,JOHN ANDERSON,6.6%,77920,5720060, ,"The United States presidential election of 1980 featured a contest between incumbent Democrat Jimmy Carter and his Republican opponent, Ronald Reagan, as well as Republican Congressman John B. Anderson, who ran as an independent. Reagan, aided by the Iran hostage crisis and a worsening economy at home, won the election in a landslide. Carter, after defeating Ted Kennedy for the Democratic nomination, attacked Reagan as a dangerous right-wing radical. For his part, Reagan, the former Governor of California, repeatedly ridiculed Carter, and won a decisive victory; in the simultaneous Congressional elections, Republicans won control of the United States Senate for the first time in 28 years. This election marked the beginning of what is popularly called the ""Reagan Revolution.""",-3.6,D,-51.1,1,5,6.900000000,51.2,3.7,146738,12,489,RONALD REAGAN,John Anderson,50.7%,1074181,43904153,Midwest,4,10.5,-0.5,5,Missouri,,,Missouri,R,2099824,86513813,51.2,R,1980
