Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MN,Hex,10,5,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,43.5,-9.4,-88474,10,370,BILL CLINTON,George Bush,43.0%,1020997,44909326,4.5,2,24.0,,,● ,),%), (,ROSS PEROT,18.9%,562506,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",-7,D,-52.9,1,-15,-11.6,31.9,-14,-214496,,168,GEORGE BUSH,Ross Perot,37.4%,747841,39103882,Midwest,2,-4.6,0.5,5,,Minnesota,,Minnesota,D,2347948,104425014,-43.5,D,1992
WI,Hex,11,1,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,41.1,-10.3,-85728,11,370,BILL CLINTON,George Bush,43.0%,1041066,44909326,5.5,2,21.5,,,● ,),%), (,ROSS PEROT,18.9%,544479,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",-3.6,D,-51.4,1,-5,-4.3,36.8,-11,-116644,,168,GEORGE BUSH,Ross Perot,37.4%,930855,39103882,Midwest,2,-0.7,0.5,7,,Wisconsin,,Wisconsin,D,2531114,104425014,-41.1,D,1992
IA,Hex,7,4,% shift to the right,Ross Perot:	,,ü,Bill Clinton,A,,Right,0,,43.3,-11.4,-84204,7,370,BILL CLINTON,George Bush,43.0%,586353,44909326,5,3,18.7,,,● ,),%), (,ROSS PEROT,18.9%,253468,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",-10.2,D,-54.7,1,-10,-6,37.3,-7.2,-40464,,168,GEORGE BUSH,Ross Perot,37.4%,504891,39103882,Midwest,3,4.2,-0.5,5,,Iowa,,Iowa,D,1354607,104425014,-43.3,D,1992
MI,Hex,18,15,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,43.8,-1.900000000,195399,18,370,BILL CLINTON,George Bush,43.0%,1871182,44909326,7.5,2,19.3,,,● ,),%), (,ROSS PEROT,18.9%,824813,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",7.9,R,53.6,1,-10,-7.4,36.4,-17.2,-410546,,168,GEORGE BUSH,Ross Perot,37.4%,1554940,39103882,Midwest,2,-15.3,0.5,8,,Michigan,,Michigan,D,4274673,104425014,-43.8,D,1992
IL,Hex,22,16,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,48.6,0,237410,22,370,BILL CLINTON,George Bush,43.0%,2453350,44909326,6,3,16.6,,,● ,),%), (,ROSS PEROT,18.9%,840515,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",2.1,R,50.7,1,-15,-14.3,34.3,-16.4,-576843,,168,GEORGE BUSH,Ross Perot,37.4%,1734096,39103882,Midwest,2,-16.4,0.5,6,,Illinois,,Illinois,D,5050157,104425014,-48.6,D,1992
OH,Hex,21,13,% shift to the left,Ross Perot:	,,ü,Bill Clinton,A,,Left,0,,40.2,-3.9,45313,21,370,BILL CLINTON,George Bush,43.0%,1984942,44909326,8,3,21.0,,,● ,),%), (,ROSS PEROT,18.9%,1036426,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",10.9,R,55,1,-5,-1.900000000,38.3,-16.7,-522239,,168,GEORGE BUSH,Ross Perot,37.4%,1894310,39103882,Midwest,3,-12.8,0.5,7,,Ohio,,Ohio,D,4939967,104425014,-40.2,D,1992
MO,Hex,11,14,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,44.1,-3.7,52254,11,370,BILL CLINTON,George Bush,43.0%,1053873,44909326,5.5,4,21.7,,,● ,),%), (,ROSS PEROT,18.9%,518741,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",4,R,51.8,1,-15,-10.2,33.9,-17.9,-273794,,168,GEORGE BUSH,Ross Perot,37.4%,811159,39103882,Midwest,4,-14.2,0.5,5,,Missouri,,Missouri,D,2391565,104425014,-44.1,D,1992
NY,Hex,33,12,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,49.7,-1.9,96568,33,370,BILL CLINTON,George Bush,43.0%,3444450,44909326,9.5,2,15.7,,,● ,),%), (,ROSS PEROT,18.9%,1090721,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",-4.1,D,-51.6,1,-20,-15.8,33.9,-13.6,-735222,,168,GEORGE BUSH,Ross Perot,37.4%,2346649,39103882,Northeast,2,-11.7,0.5,9,,New York,,New York,D,6926925,104425014,-49.7,D,1992
RI,Hex,4,6,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,47.0,-8.6,-11824,4,370,BILL CLINTON,George Bush,43.0%,213299,44909326,11.5,2,23.2,,,● ,),%), (,ROSS PEROT,18.9%,105045,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",-11.7,D,-55.6,1,-20,-18,29.0,-14.9,-46160,,168,GEORGE BUSH,Ross Perot,37.4%,131601,39103882,Northeast,2,-6.3,0.5,10,,Rhode Island,,Rhode Island,D,453477,104425014,-47,D,1992
MA,Hex,12,11,% shift to the left,Ross Perot:	,,ü,Bill Clinton,B,,Left,0,,47.5,-5.7,-82753,12,370,BILL CLINTON,George Bush,43.0%,1318662,44909326,10.5,2,22.7,,,● ,),%), (,ROSS PEROT,18.9%,630731,19741657,               ,"The United States presidential election of 1992 had three major candidates: Incumbent Republican President George H. W. Bush; Democrat Arkansas Governor Bill Clinton, and independent Texas businessman Ross Perot. Bush had alienated much of his conservative base by breaking his 1988 campaign pledge against raising taxes, the economy was in a recession, and Bush's perceived greatest strength, foreign policy, was regarded as much less important following the collapse of the Soviet Union and the relatively peaceful climate in the Middle East after the defeat of Iraq in the Gulf War.",-7.8,D,-53.2,1,-20,-18.5,29.0,-16.4,-389586,,168,GEORGE BUSH,Ross Perot,37.4%,805049,39103882,Northeast,2,-10.7,0.5,11,,Massachusetts,,Massachusetts,D,2773700,104425014,-47.5,D,1992
