Abbreviation,Selected Map,Total_EV,Shift,Shift tooltip,I_Nominee tooltip,blank,D-Check,D_Nominee_prop,Color Bins,Independent spacing,Direction,Spacer,R-Check,D_Percentage,D_DifferencePercentage,D_Difference,D_EV,D_EV_Total,D_Nominee,R_Nominee_prop,D_PopularPercentage,D_Votes,D_Votes_Total,Hex_Column,Hex_Row,I_Percentage,I_EV,I_EV_Total,I_Nominee tooltip ●,I_Nominee tooltip ')',I_Nominee tooltip 'Percentage)',I_Nominee tooltip '(',I_Nominee,I_PopularPercentage,I_Votes,I_Votes_Total,Independent spacing (popular),Info,Last_RD_Difference,Last_Winner,Last_Winner_Percentage,Number of Records,RD_Difference (bin),RD_Difference,R_Percentage,R_DifferencePercentage,R_Difference,R_EV,R_EV_Total,R_Nominee,I_Nominee_prop,R_PopularPercentage,R_Votes,R_Votes_Total,Region,Row,Shift :(l/r),Shift abbreviation,Space,State (red),State (blue),State (yellow),State,State_Winner,Total Votes,Total_Votes_USA,Winner_Percentage,Winning Party,Year
MO,Hex,13,0,% shift to the left,,,ü,John F. Kennedy,A,,Left,0,,50.3,0.200000000,53928,13,311,JOHN F. KENNEDY,Richard Nixon,49.7%,972201,34226731,5.5,4,,,,,,,,,,,,,"The election of 1960 marked the end of Dwight D. Eisenhower's two terms as President. Eisenhower's Vice President, Richard Nixon, who had transformed his office into a national political base, was the Republican candidate, whereas the Democrats nominated Massachusetts Senator John F. Kennedy. The electoral vote was the closest in any presidential election since 1916. In the popular vote, Kennedy's margin of victory was among the closest ever in American history. The 1960 election also remains a source of debate among some historians as to whether vote theft in selected states aided Kennedy's victory. Virginian Senator Harry F. Byrd received 15 electoral votes from 14 Southern and one Oklahoma unpledged and faithless electors, respectively. This was the first presidential election in which Alaska and Hawaii participated.",-0.200000000,D,-50.1,1,-5,-0.600000000,49.7,-0.200000000,47932,,219,RICHARD NIXON, ,49.5%,962221,34108157,Midwest,4,-0.4,0.5,5,,Missouri,,Missouri,D,1934422,68838219,-50.3,D,1960
MN,Hex,11,9,% shift to the left,,,ü,John F. Kennedy,A,,Left,0,,50.6,4.5,162408,11,311,JOHN F. KENNEDY,Richard Nixon,49.7%,779933,34226731,4.5,2,,,,,,,,,,,,,"The election of 1960 marked the end of Dwight D. Eisenhower's two terms as President. Eisenhower's Vice President, Richard Nixon, who had transformed his office into a national political base, was the Republican candidate, whereas the Democrats nominated Massachusetts Senator John F. Kennedy. The electoral vote was the closest in any presidential election since 1916. In the popular vote, Kennedy's margin of victory was among the closest ever in American history. The 1960 election also remains a source of debate among some historians as to whether vote theft in selected states aided Kennedy's victory. Virginian Senator Harry F. Byrd received 15 electoral votes from 14 Southern and one Oklahoma unpledged and faithless electors, respectively. This was the first presidential election in which Alaska and Hawaii participated.",7.6,R,53.7,1,-5,-1.4,49.2,-4.5,38613,,219,RICHARD NIXON, ,49.5%,757915,34108157,Midwest,2,-9.0,0.5,5,,Minnesota,,Minnesota,D,1541887,68838219,-50.6,D,1960
MI,Hex,20,14,% shift to the left,,,ü,John F. Kennedy,A,,Left,0,,50.9,6.8,327371,20,311,JOHN F. KENNEDY,Richard Nixon,49.7%,1687269,34226731,7.5,2,,,,,,,,,,,,,"The election of 1960 marked the end of Dwight D. Eisenhower's two terms as President. Eisenhower's Vice President, Richard Nixon, who had transformed his office into a national political base, was the Republican candidate, whereas the Democrats nominated Massachusetts Senator John F. Kennedy. The electoral vote was the closest in any presidential election since 1916. In the popular vote, Kennedy's margin of victory was among the closest ever in American history. The 1960 election also remains a source of debate among some historians as to whether vote theft in selected states aided Kennedy's victory. Virginian Senator Harry F. Byrd received 15 electoral votes from 14 Southern and one Oklahoma unpledged and faithless electors, respectively. This was the first presidential election in which Alaska and Hawaii participated.",11.5,R,55.6,1,-5,-2.1,48.8,-6.8,-93219,,219,RICHARD NIXON, ,49.5%,1620428,34108157,Midwest,2,-13.6,0.5,8,,Michigan,,Michigan,D,3318097,68838219,-50.9,D,1960
IL,Hex,27,19,% shift to the left,,,ü,John F. Kennedy,A,,Left,0,,50.0,9.7,602164,27,311,JOHN F. KENNEDY,Richard Nixon,49.7%,2377846,34226731,6,3,,,,,,,,,,,,,"The election of 1960 marked the end of Dwight D. Eisenhower's two terms as President. Eisenhower's Vice President, Richard Nixon, who had transformed his office into a national political base, was the Republican candidate, whereas the Democrats nominated Massachusetts Senator John F. Kennedy. The electoral vote was the closest in any presidential election since 1916. In the popular vote, Kennedy's margin of victory was among the closest ever in American history. The 1960 election also remains a source of debate among some historians as to whether vote theft in selected states aided Kennedy's victory. Virginian Senator Harry F. Byrd received 15 electoral votes from 14 Southern and one Oklahoma unpledged and faithless electors, respectively. This was the first presidential election in which Alaska and Hawaii participated.",19.2,R,59.5,1,-5,-0.200000000,49.8,-9.7,-254339,,219,RICHARD NIXON, ,49.5%,2368988,34108157,Midwest,2,-19.4,0.5,6,,Illinois,,Illinois,D,4757409,68838219,-50,D,1960
NY,Hex,45,28,% shift to the left,,,ü,John F. Kennedy,A,,Left,0,,52.5,13.8,1082141,45,311,JOHN F. KENNEDY,Richard Nixon,49.7%,3830085,34226731,9.5,2,,,,,,,,,,,,,"The election of 1960 marked the end of Dwight D. Eisenhower's two terms as President. Eisenhower's Vice President, Richard Nixon, who had transformed his office into a national political base, was the Republican candidate, whereas the Democrats nominated Massachusetts Senator John F. Kennedy. The electoral vote was the closest in any presidential election since 1916. In the popular vote, Kennedy's margin of victory was among the closest ever in American history. The 1960 election also remains a source of debate among some historians as to whether vote theft in selected states aided Kennedy's victory. Virginian Senator Harry F. Byrd received 15 electoral votes from 14 Southern and one Oklahoma unpledged and faithless electors, respectively. This was the first presidential election in which Alaska and Hawaii participated.",22.5,R,61.2,1,-10,-5.2,47.3,-13.9,-899087,,219,RICHARD NIXON, ,49.5%,3446419,34108157,Northeast,2,-27.7,0.5,9,,New York,,New York,D,7291079,68838219,-52.5,D,1960
RI,Hex,4,44,% shift to the left,,,ü,John F. Kennedy,C,,Left,0,,63.6,21.9,96242,4,311,JOHN F. KENNEDY,Richard Nixon,49.7%,258032,34226731,11.5,2,,,,,,,,,,,,,"The election of 1960 marked the end of Dwight D. Eisenhower's two terms as President. Eisenhower's Vice President, Richard Nixon, who had transformed his office into a national political base, was the Republican candidate, whereas the Democrats nominated Massachusetts Senator John F. Kennedy. The electoral vote was the closest in any presidential election since 1916. In the popular vote, Kennedy's margin of victory was among the closest ever in American history. The 1960 election also remains a source of debate among some historians as to whether vote theft in selected states aided Kennedy's victory. Virginian Senator Harry F. Byrd received 15 electoral votes from 14 Southern and one Oklahoma unpledged and faithless electors, respectively. This was the first presidential election in which Alaska and Hawaii participated.",16.6,R,58.3,1,-30,-27.2,36.4,-21.9,-78317,,219,RICHARD NIXON, ,49.5%,147502,34108157,Northeast,2,-43.8,0.5,10,,Rhode Island,,Rhode Island,D,405535,68838219,-63.6,D,1960
MA,Hex,16,40,% shift to the left,,,ü,John F. Kennedy,C,,Left,0,,60.2,19.8,538984,16,311,JOHN F. KENNEDY,Richard Nixon,49.7%,1487174,34226731,10.5,2,,,,,,,,,,,,,"The election of 1960 marked the end of Dwight D. Eisenhower's two terms as President. Eisenhower's Vice President, Richard Nixon, who had transformed his office into a national political base, was the Republican candidate, whereas the Democrats nominated Massachusetts Senator John F. Kennedy. The electoral vote was the closest in any presidential election since 1916. In the popular vote, Kennedy's margin of victory was among the closest ever in American history. The 1960 election also remains a source of debate among some historians as to whether vote theft in selected states aided Kennedy's victory. Virginian Senator Harry F. Byrd received 15 electoral votes from 14 Southern and one Oklahoma unpledged and faithless electors, respectively. This was the first presidential election in which Alaska and Hawaii participated.",18.9,R,59.3,1,-25,-20.6,39.6,-19.7,-416447,,219,RICHARD NIXON, ,49.5%,976750,34108157,Northeast,2,-39.5,0.5,11,,Massachusetts,,Massachusetts,D,2469480,68838219,-60.2,D,1960
PA,Hex,32,16,% shift to the left,,,ü,John F. Kennedy,A,,Left,0,,51.1,7.8,574513,32,311,JOHN F. KENNEDY,Richard Nixon,49.7%,2556282,34226731,9,3,,,,,,,,,,,,,"The election of 1960 marked the end of Dwight D. Eisenhower's two terms as President. Eisenhower's Vice President, Richard Nixon, who had transformed his office into a national political base, was the Republican candidate, whereas the Democrats nominated Massachusetts Senator John F. Kennedy. The electoral vote was the closest in any presidential election since 1916. In the popular vote, Kennedy's margin of victory was among the closest ever in American history. The 1960 election also remains a source of debate among some historians as to whether vote theft in selected states aided Kennedy's victory. Virginian Senator Harry F. Byrd received 15 electoral votes from 14 Southern and one Oklahoma unpledged and faithless electors, respectively. This was the first presidential election in which Alaska and Hawaii participated.",13.2,R,56.5,1,-5,-2.4,48.7,-7.8,-145296,,219,RICHARD NIXON, ,49.5%,2439956,34108157,Northeast,3,-15.6,0.5,8,,Pennsylvania,,Pennsylvania,D,5006541,68838219,-51.1,D,1960
NJ,Hex,16,31,% shift to the left,,,ü,John F. Kennedy,A,,Left,0,,50.0,15.8,535078,16,311,JOHN F. KENNEDY,Richard Nixon,49.7%,1385415,34226731,10,3,,,,,,,,,,,,,"The election of 1960 marked the end of Dwight D. Eisenhower's two terms as President. Eisenhower's Vice President, Richard Nixon, who had transformed his office into a national political base, was the Republican candidate, whereas the Democrats nominated Massachusetts Senator John F. Kennedy. The electoral vote was the closest in any presidential election since 1916. In the popular vote, Kennedy's margin of victory was among the closest ever in American history. The 1960 election also remains a source of debate among some historians as to whether vote theft in selected states aided Kennedy's victory. Virginian Senator Harry F. Byrd received 15 electoral votes from 14 Southern and one Oklahoma unpledged and faithless electors, respectively. This was the first presidential election in which Alaska and Hawaii participated.",30.5,R,64.7,1,-5,-0.800000000,49.2,-15.5,-243618,,219,RICHARD NIXON, ,49.5%,1363324,34108157,Northeast,3,-31.3,0.5,9,,New Jersey,,New Jersey,D,2773111,68838219,-50,D,1960
CT,Hex,8,35,% shift to the left,,,ü,John F. Kennedy,A,,Left,0,,53.7,17.4,251976,8,311,JOHN F. KENNEDY,Richard Nixon,49.7%,657055,34226731,11,3,,,,,,,,,,,,,"The election of 1960 marked the end of Dwight D. Eisenhower's two terms as President. Eisenhower's Vice President, Richard Nixon, who had transformed his office into a national political base, was the Republican candidate, whereas the Democrats nominated Massachusetts Senator John F. Kennedy. The electoral vote was the closest in any presidential election since 1916. In the popular vote, Kennedy's margin of victory was among the closest ever in American history. The 1960 election also remains a source of debate among some historians as to whether vote theft in selected states aided Kennedy's victory. Virginian Senator Harry F. Byrd received 15 electoral votes from 14 Southern and one Oklahoma unpledged and faithless electors, respectively. This was the first presidential election in which Alaska and Hawaii participated.",27.4,R,63.7,1,-10,-7.400000000,46.3,-17.4,-146024,,219,RICHARD NIXON, ,49.5%,565813,34108157,Northeast,3,-34.8,0.5,10,,Connecticut,,Connecticut,D,1222883,68838219,-53.7,D,1960
